selection	active	last_source
track_1.1	0	vcm600/channel/1/cf_asn
track_1.2	0	vcm600/channel/1/clip
track_1.3	0	vcm600/channel/1/track
track_2.1	1	vcm600/channel/2/cf_asn
track_2.2	1	vcm600/channel/2/clip
track_2.3	1	vcm600/channel/2/track
track_3.1	1	vcm600/channel/3/cf_asn
track_3.2	0	vcm600/channel/3/clip
track_3.3	1	vcm600/channel/3/track
track_4.1	1	vcm600/channel/4/cf_asn
track_4.2	1	vcm600/channel/4/clip
track_4.3	1	vcm600/channel/4/track
track_5.1	0	vcm600/channel/5/cf_asn
track_5.2	0	vcm600/channel/5/clip
track_5.3	0	vcm600/channel/5/track
track_6.1	1	vcm600/channel/6/cf_asn
track_6.2	0	vcm600/channel/6/clip
track_6.3	1	vcm600/channel/6/track
