control	live_1	1.1	1.2	1.3	live_2	2.1	2.2	2.3	live_3	3.1	3.2	3.3	live_4	4.1	4.2	4.3	live_5	5.1	5.2	5.3	live_6	6.1	6.2	6.3
focus_channel					2																			
focus_control	frequency				frequency				resonance				frequency				-				low_eq			
page_index	7																							
active_slots	1				1,2				1,2				1,2,3				-				1,3			
deep_valid	1																							
active		1	0	0		1	1	0		1	1	0		1	1	1		0	0	0		1	0	1
hi_eq	0.134	0.134	0.134	0.134	0.661	0.661	0.661	0	0	0	0	0	0	0	0	0	0	0	0	0	0.354	0.354	0	0.354
mid_eq	0.630	0.630	0.630	0	0.717	0.830	0.830	0.371	0	0	0	0	0	0	0	0	0	0	0	0	0.260	0.260	0	0.260
low_eq	0.835	0.774	0.756	0.835	0.362	0.402	0.362	0	0.976	0.976	0.976	0.976	0.646	0.646	0.646	0.646	0	0	0	0	0.362	0.362	0	0.362
pan	0.811	0.543	0.066	0.811	0.850	0.850	0.850	0.850	0	0	0	0	0.677	0.677	0.677	0.677	0	0	0	0	0	0	0	0
send_a	0.717	0.717	0.717	0.698	0.669	0.591	0.591	0.528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
send_b	0.638	0.638	0.638	0.940	0.717	0.724	0.717	0.465	0.433	0	0.433	0.433	0.394	0.394	0.394	0.394	0	0	0	0	0	0	0	0
resonance	0.850	0.780	0.967	0.933	0.787	0.977	0.787	1.000	0.992	0.992	0.992	1	0	0	0	0	0	0	0	0	0	0	0	0
frequency	0.331	0.551	0.845	0.268	0.504	0.989	0.504	0.615	0.244	0.244	0.185	0.402	0.378	0.378	0.378	0.378	0	0	0	0	0	0	0	0
hi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
low	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mute	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
solo	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cf_asn	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0 p	0	0	0	0	0	0
clip	1	0	0 p	0 p	0	0	0	0 p	0	0	0	0 p	0	0	0	0	0	0	0 p	0	0	0	0 p	0
track	1	0	0	0 p	0	0	0	0 p	0	0	0	0 p	0	0	0	0	0	0	0	0 p	0	0	0 p	0
stop	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
play	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fx_grid_1		0.417	0.417	0.417	0.417	0.417	0.417	0.417		0.417	0.417	0.417		0.378	0.378	0.378		1	1	1		0.378	1	0.378
fx_grid_2		0.142	0.142	0.142	0.142	0.142	0.142	0.142		0.142	0.142	0.142		0.0	0.0	0.0		0	0	0		0.0	0	0.0
fx_grid_3		0.724	0.724	0.724	0.724	0.724	0.724	0.724		0.724	0.724	0.724		0.268	0.268	0.268		0	0	0		0.268	0	0.268
fx_grid_4		0.709	0.630	0.630	0.630	0.630	0.630	0.630		0.630	0.630	0.630		0.024	0.024	0.024		0	0	0		0.024	0	0.024
fx_grid_5		0.197	0.165	0.165	0.165	0.937	0.937	0.937		0.937	0.937	0.937		0.37	0.37	0.37		0.331	0.331	0.331		0.37	0.331	0.37
fx_grid_6		0.819	0.591	0.591	0.591	0.591	0.591	0.591		0.591	0.591	0.591		0.661	0.661	0.661		0.598	0.598	0.598		0.661	0.598	0.661
fx_grid_7		0.433	0.866	0.866	0.866	0.417	0.433	0.795		0.417	0.417	0.417		0.449	0.449	0.449		0	0	0		0.449	0	0.449
fx_grid_8		0.425	0.756	0.756	0.756	0.756	0.756	0.756		0.402	0.323	0.378		0.465	0.465	0.465		0	0	0		0.465	0	0.465
