group	control	mask	last_live	base_1	base_2	base_3	out_1	out_2	out_3	epsilon
1	fx_grid_1	001	0.378	0.693	0.693	0.693	0.693	0.693	0.378	0.0001
1	fx_grid_2	001	0	0.598	0.598	0.598	0.598	0.598	0	0.0001
1	fx_grid_3	001	0.268	0.087	0.087	0.087	0.087	0.087	0.268	0.0001
1	fx_grid_4	001	0.024	0.063	0.268	0.063	0.063	0.268	0.024	0.0001
1	fx_grid_5	001	0.370	0.780	0.780	0.780	0.780	0.780	0.370	0.0001
1	fx_grid_6	001	0.661	0.165	0.165	0.165	0.165	0.165	0.661	0.0001
1	fx_grid_7	001	0.449	0.386	0.984	0.984	0.386	0.984	0.449	0.0001
1	fx_grid_8	001	0.465	0.268	0.189	0.787	0.268	0.189	0.465	0.0001
2	fx_grid_1	010	0.378	0.165	0.378	0.165	0.165	0.378	0.165	0.0001
2	fx_grid_2	010	0	0	0	0	0	0	0	0.0001
2	fx_grid_3	010	0.268	0	0.268	0	0	0.268	0	0.0001
2	fx_grid_4	010	0.024	0	0.024	0	0	0.024	0	0.0001
2	fx_grid_5	010	0.370	0.724	0.370	0.724	0.724	0.370	0.724	0.0001
2	fx_grid_6	010	0.661	0.598	0.661	0.598	0.598	0.661	0.598	0.0001
2	fx_grid_7	010	0.449	0	0.449	0	0	0.449	0	0.0001
2	fx_grid_8	010	0.465	0	0.465	0	0	0.465	0	0.0001
3	fx_grid_1	110	0.378	0.378	0.378	1	0.378	0.378	1	0.0001
3	fx_grid_2	110	0	0	0	0	0	0	0	0.0001
3	fx_grid_3	110	0.268	0.268	0.268	0	0.268	0.268	0	0.0001
3	fx_grid_4	110	0.024	0.024	0.024	0	0.024	0.024	0	0.0001
3	fx_grid_5	110	0.370	0.370	0.370	0.331	0.370	0.370	0.331	0.0001
3	fx_grid_6	110	0.661	0.661	0.661	0.598	0.661	0.661	0.598	0.0001
3	fx_grid_7	110	0.449	0.449	0.449	0	0.449	0.449	0	0.0001
3	fx_grid_8	110	0.465	0.465	0.465	0	0.465	0.465	0	0.0001
4	fx_grid_1	000	0	0	0	0	0	0	0	0.0001
4	fx_grid_2	000	0	0	0	0	0	0	0	0.0001
4	fx_grid_3	000	0	0	0	0	0	0	0	0.0001
4	fx_grid_4	000	0	0	0	0	0	0	0	0.0001
4	fx_grid_5	000	0	0	0	0	0	0	0	0.0001
4	fx_grid_6	000	0	0	0	0	0	0	0	0.0001
4	fx_grid_7	000	0	0	0	0	0	0	0	0.0001
4	fx_grid_8	000	0	0	0	0	0	0	0	0.0001
5	fx_grid_1	000	0	0	0	0	0	0	0	0.0001
5	fx_grid_2	000	0	0	0	0	0	0	0	0.0001
5	fx_grid_3	000	0	0	0	0	0	0	0	0.0001
5	fx_grid_4	000	0	0	0	0	0	0	0	0.0001
5	fx_grid_5	000	0	0	0	0	0	0	0	0.0001
5	fx_grid_6	000	0	0	0	0	0	0	0	0.0001
5	fx_grid_7	000	0	0	0	0	0	0	0	0.0001
5	fx_grid_8	000	0	0	0	0	0	0	0	0.0001
6	fx_grid_1	101	0.378	0.378	1	0.378	0.378	1	0.378	0.0001
6	fx_grid_2	101	0	0	0	0	0	0	0	0.0001
6	fx_grid_3	101	0.268	0.268	0	0.268	0.268	0	0.268	0.0001
6	fx_grid_4	101	0.024	0.024	0	0.024	0.024	0	0.024	0.0001
6	fx_grid_5	101	0.370	0.370	0.331	0.370	0.370	0.331	0.370	0.0001
6	fx_grid_6	101	0.661	0.661	0.598	0.661	0.661	0.598	0.661	0.0001
6	fx_grid_7	101	0.449	0.449	0	0.449	0.449	0	0.449	0.0001
6	fx_grid_8	101	0.465	0.465	0	0.465	0.465	0	0.465	0.0001
